number,value,datetime_start,datetime_complete,duration,params_hop_fraction,params_n_components,params_n_fft,params_n_iter,state
46,1.2334436871721615,2026-04-03 15:37:28.413666,2026-04-03 15:38:13.412789,0 days 00:00:44.999123,4,4,2048,160,COMPLETE
47,0.4727344156769284,2026-04-03 15:38:13.413020,2026-04-03 15:38:36.747134,0 days 00:00:23.334114,2,4,2048,160,COMPLETE
48,0.961567534547488,2026-04-03 15:38:36.747634,2026-04-03 15:39:05.511003,0 days 00:00:28.763369,4,8,4096,140,COMPLETE
49,0.8938874813147268,2026-04-03 15:39:05.511311,2026-04-03 15:39:39.425005,0 days 00:00:33.913694,4,4,512,160,COMPLETE
50,1.0833687830839347,2026-04-03 15:39:39.425492,2026-04-03 15:40:10.987591,0 days 00:00:31.562099,4,7,2048,120,COMPLETE
51,1.2007197402090897,2026-04-03 15:40:10.988672,2026-04-03 15:41:02.979035,0 days 00:00:51.990363,4,5,2048,190,COMPLETE
52,1.1570525755679824,2026-04-03 15:41:02.980401,2026-04-03 15:41:45.427372,0 days 00:00:42.446971,4,4,2048,170,COMPLETE
53,1.0090544176234109,2026-04-03 15:41:45.427992,2026-04-03 15:42:22.562491,0 days 00:00:37.134499,4,4,2048,150,COMPLETE
54,1.0279190018957165,2026-04-03 15:42:22.563756,2026-04-03 15:43:09.422644,0 days 00:00:46.858888,4,3,2048,170,COMPLETE
55,1.2104577291419976,2026-04-03 15:43:09.424043,2026-04-03 15:43:53.504609,0 days 00:00:44.080566,4,4,2048,170,COMPLETE
56,0.7134179441569852,2026-04-03 15:43:53.508035,2026-04-03 15:44:13.365687,0 days 00:00:19.857652,2,4,2048,150,COMPLETE
57,0.9604998728838657,2026-04-03 15:44:13.368240,2026-04-03 15:45:01.024640,0 days 00:00:47.656400,4,5,512,200,COMPLETE
58,1.158128709065621,2026-04-03 15:45:01.027908,2026-04-03 15:45:39.438317,0 days 00:00:38.410409,4,4,2048,140,COMPLETE
59,0.5772121138987314,2026-04-03 15:45:39.440041,2026-04-03 15:46:25.040422,0 days 00:00:45.600381,4,3,1024,160,COMPLETE
60,1.1419135421499387,2026-04-03 15:46:25.041808,2026-04-03 15:46:59.554118,0 days 00:00:34.512310,4,6,2048,110,COMPLETE
61,1.1910141997931263,2026-04-03 15:46:59.555401,2026-04-03 15:47:34.252518,0 days 00:00:34.697117,4,4,2048,130,COMPLETE
62,1.1144401962199142,2026-04-03 15:47:34.253895,2026-04-03 15:48:06.739494,0 days 00:00:32.485599,4,4,2048,130,COMPLETE
63,0.994075674048084,2026-04-03 15:48:06.740620,2026-04-03 15:48:39.223080,0 days 00:00:32.482460,4,4,2048,130,COMPLETE
64,1.1908739727798647,2026-04-03 15:48:39.224220,2026-04-03 15:49:08.876389,0 days 00:00:29.652169,4,3,2048,110,COMPLETE
65,1.2284667225535455,2026-04-03 15:49:08.879759,2026-04-03 15:49:37.022377,0 days 00:00:28.142618,4,3,2048,100,COMPLETE
66,0.6883524779449394,2026-04-03 15:49:37.024142,2026-04-03 15:49:54.906443,0 days 00:00:17.882301,2,3,4096,90,COMPLETE
67,1.1317472865911635,2026-04-03 15:49:54.907825,2026-04-03 15:50:26.103491,0 days 00:00:31.195666,4,3,2048,100,COMPLETE
68,1.21519857303465,2026-04-03 15:50:26.104892,2026-04-03 15:51:09.735044,0 days 00:00:43.630152,4,2,2048,120,COMPLETE
69,0.9641207639448777,2026-04-03 15:51:09.746906,2026-04-03 15:51:36.355150,0 days 00:00:26.608244,4,2,1024,80,COMPLETE
70,1.246321247675599,2026-04-03 15:51:36.360275,2026-04-03 15:52:08.060656,0 days 00:00:31.700381,4,2,2048,100,COMPLETE
71,1.1502127714823418,2026-04-03 15:52:08.062042,2026-04-03 15:52:34.274346,0 days 00:00:26.212304,4,2,2048,90,COMPLETE
72,1.2447303604429705,2026-04-03 15:52:34.275507,2026-04-03 15:53:05.402887,0 days 00:00:31.127380,4,2,2048,110,COMPLETE
73,1.1849425561610234,2026-04-03 15:53:05.404573,2026-04-03 15:53:34.237824,0 days 00:00:28.833251,4,2,2048,100,COMPLETE
74,1.2559406851204247,2026-04-03 15:53:34.239153,2026-04-03 15:54:13.259226,0 days 00:00:39.020073,4,2,2048,110,COMPLETE
75,1.1888951004882213,2026-04-03 15:54:13.261037,2026-04-03 15:54:51.304026,0 days 00:00:38.042989,4,2,2048,110,COMPLETE
76,1.1235030052597346,2026-04-03 15:54:51.305425,2026-04-03 15:55:14.937759,0 days 00:00:23.632334,4,2,2048,60,COMPLETE
77,1.0747799864438212,2026-04-03 15:55:14.939688,2026-04-03 15:55:44.519354,0 days 00:00:29.579666,4,2,2048,80,COMPLETE
78,0.8365781099410837,2026-04-03 15:55:44.520879,2026-04-03 15:56:22.149204,0 days 00:00:37.628325,4,2,512,120,COMPLETE
79,0.6071299991881338,2026-04-03 15:56:22.150820,2026-04-03 15:56:40.393314,0 days 00:00:18.242494,2,3,2048,90,COMPLETE
